year,month,category,cpi,region,period,estimatedcost,avg_wage
2019,feb,Medical Care,513.713,Northeast,Pre-COVID,455.35,
2020,feb,Medical Care,544.627,Northeast,Post-COVID,482.76,60284.444444444445
2021,feb,Medical Care,549.824,Northeast,Post-COVID,487.36,62467.77777777778
2022,feb,Medical Care,559.364,Northeast,Post-COVID,495.82,65818.88888888889
2023,feb,Medical Care,575.275,Northeast,Post-COVID,509.92,69343.33333333333
2024,feb,Medical Care,562.889,Northeast,Post-COVID,498.94,71988.88888888889
2025,feb,Medical Care,583.024,Northeast,Post-COVID,516.79,75084.4050740352
2015,mar,Food at Home,248.385,Northeast,Pre-COVID,342.08,51403.333333333336
2016,mar,Food at Home,246.278,Northeast,Pre-COVID,339.18,52797.77777777778
2017,mar,Food at Home,244.742,Northeast,Pre-COVID,337.07,53960.0
2018,mar,Food at Home,248.406,Northeast,Pre-COVID,342.11,55435.555555555555
2019,mar,Food at Home,251.944,Northeast,Pre-COVID,346.98,
2020,mar,Food at Home,253.922,Northeast,Post-COVID,349.71,60284.444444444445
2021,mar,Food at Home,260.243,Northeast,Post-COVID,358.41,62467.77777777778
2022,mar,Food at Home,282.73,Northeast,Post-COVID,389.38,65818.88888888889
2023,mar,Food at Home,306.434,Northeast,Post-COVID,422.03,69343.33333333333
2024,mar,Food at Home,307.985,Northeast,Post-COVID,424.17,71988.88888888889
2025,mar,Food at Home,314.865,Northeast,Post-COVID,433.64,75084.4050740352
2015,mar,Food Away From Home,257.287,Northeast,Pre-COVID,266.83,51403.333333333336
2016,mar,Food Away From Home,264.313,Northeast,Pre-COVID,274.12,52797.77777777778
2017,mar,Food Away From Home,270.806,Northeast,Pre-COVID,280.85,53960.0
2018,mar,Food Away From Home,276.763,Northeast,Pre-COVID,287.03,55435.555555555555
2019,mar,Food Away From Home,285.104,Northeast,Pre-COVID,295.68,
2020,mar,Food Away From Home,294.219,Northeast,Post-COVID,305.14,60284.444444444445
2021,mar,Food Away From Home,307.319,Northeast,Post-COVID,318.72,62467.77777777778
2022,mar,Food Away From Home,325.521,Northeast,Post-COVID,337.6,65818.88888888889
2023,mar,Food Away From Home,352.173,Northeast,Post-COVID,365.24,69343.33333333333
2024,mar,Food Away From Home,368.267,Northeast,Post-COVID,381.93,71988.88888888889
2025,mar,Food Away From Home,382.235,Northeast,Post-COVID,396.42,75084.4050740352
2015,mar,Energy,202.16,Northeast,Pre-COVID,292.92,51403.333333333336
2016,mar,Energy,174.204,Northeast,Pre-COVID,252.41,52797.77777777778
2017,mar,Energy,195.085,Northeast,Pre-COVID,282.67,53960.0
2018,mar,Energy,213.671,Northeast,Pre-COVID,309.6,55435.555555555555
2019,mar,Energy,211.657,Northeast,Pre-COVID,306.68,
2020,mar,Energy,198.967,Northeast,Post-COVID,288.29,60284.444444444445
2021,mar,Energy,218.736,Northeast,Post-COVID,316.93,62467.77777777778
2022,mar,Energy,293.911,Northeast,Post-COVID,425.86,65818.88888888889
2023,mar,Energy,279.181,Northeast,Post-COVID,404.52,69343.33333333333
2024,mar,Energy,277.32,Northeast,Post-COVID,401.82,71988.88888888889
2025,mar,Energy,280.359,Northeast,Post-COVID,406.22,75084.4050740352
2015,mar,Shelter,321.995,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,mar,Shelter,330.202,Northeast,Pre-COVID,1503.19,52797.77777777778
2017,mar,Shelter,339.146,Northeast,Pre-COVID,1543.91,53960.0
2018,mar,Shelter,347.179,Northeast,Pre-COVID,1580.48,55435.555555555555
2019,mar,Shelter,355.912,Northeast,Pre-COVID,1620.24,
2020,mar,Shelter,365.343,Northeast,Post-COVID,1663.17,60284.444444444445
2021,mar,Shelter,369.937,Northeast,Post-COVID,1684.08,62467.77777777778
2022,mar,Shelter,380.887,Northeast,Post-COVID,1733.93,65818.88888888889
2023,mar,Shelter,404.754,Northeast,Post-COVID,1842.58,69343.33333333333
2024,mar,Shelter,428.807,Northeast,Post-COVID,1952.08,71988.88888888889
2025,mar,Shelter,449.62,Northeast,Post-COVID,2046.83,75084.4050740352
2015,mar,Medical Care,466.218,Northeast,Pre-COVID,412.67,51403.333333333336
2016,mar,Medical Care,479.701,Northeast,Pre-COVID,424.6,52797.77777777778
2017,mar,Medical Care,493.595,Northeast,Pre-COVID,436.9,53960.0
2018,mar,Medical Care,504.112,Northeast,Pre-COVID,446.21,55435.555555555555
2019,mar,Medical Care,518.479,Northeast,Pre-COVID,458.92,
2020,mar,Medical Care,545.933,Northeast,Post-COVID,483.23,60284.444444444445
2021,mar,Medical Care,548.73,Northeast,Post-COVID,485.7,62467.77777777778
2022,mar,Medical Care,563.166,Northeast,Post-COVID,498.48,65818.88888888889
2023,mar,Medical Care,561.165,Northeast,Post-COVID,496.71,69343.33333333333
2024,mar,Medical Care,573.512,Northeast,Post-COVID,507.64,71988.88888888889
2025,mar,Medical Care,582.998,Northeast,Post-COVID,516.03,75084.4050740352
2015,apr,Food at Home,248.741,Northeast,Pre-COVID,342.08,51403.333333333336
2016,apr,Food at Home,247.349,Northeast,Pre-COVID,340.17,52797.77777777778
2017,apr,Food at Home,246.69,Northeast,Pre-COVID,339.26,53960.0
2018,apr,Food at Home,249.436,Northeast,Pre-COVID,343.04,55435.555555555555
2019,apr,Food at Home,249.654,Northeast,Pre-COVID,343.34,
2020,apr,Food at Home,262.18,Northeast,Post-COVID,360.57,60284.444444444445
2021,apr,Food at Home,262.195,Northeast,Post-COVID,360.59,62467.77777777778
2022,apr,Food at Home,286.582,Northeast,Post-COVID,394.12,65818.88888888889
2023,apr,Food at Home,306.734,Northeast,Post-COVID,421.84,69343.33333333333
2024,apr,Food at Home,309.571,Northeast,Post-COVID,425.74,71988.88888888889
2025,apr,Food at Home,312.927,Northeast,Post-COVID,430.36,75084.4050740352
2015,apr,Food Away From Home,257.49,Northeast,Pre-COVID,266.83,51403.333333333336
2016,apr,Food Away From Home,265.001,Northeast,Pre-COVID,274.62,52797.77777777778
2017,apr,Food Away From Home,271.236,Northeast,Pre-COVID,281.08,53960.0
2018,apr,Food Away From Home,278.327,Northeast,Pre-COVID,288.43,55435.555555555555
2019,apr,Food Away From Home,286.052,Northeast,Pre-COVID,296.43,
2020,apr,Food Away From Home,296.492,Northeast,Post-COVID,307.25,60284.444444444445
2021,apr,Food Away From Home,308.751,Northeast,Post-COVID,319.95,62467.77777777778
2022,apr,Food Away From Home,326.649,Northeast,Post-COVID,338.5,65818.88888888889
2023,apr,Food Away From Home,353.192,Northeast,Post-COVID,366.01,69343.33333333333
2024,apr,Food Away From Home,369.423,Northeast,Post-COVID,382.83,71988.88888888889
2025,apr,Food Away From Home,384.341,Northeast,Post-COVID,398.29,75084.4050740352
2015,apr,Energy,200.716,Northeast,Pre-COVID,292.92,51403.333333333336
2016,apr,Energy,182.145,Northeast,Pre-COVID,265.81,52797.77777777778
2017,apr,Energy,198.421,Northeast,Pre-COVID,289.57,53960.0
2018,apr,Energy,217.608,Northeast,Pre-COVID,317.57,55435.555555555555
2019,apr,Energy,217.787,Northeast,Pre-COVID,317.83,
2020,apr,Energy,187.095,Northeast,Post-COVID,273.04,60284.444444444445
2021,apr,Energy,221.008,Northeast,Post-COVID,322.53,62467.77777777778
2022,apr,Energy,294.285,Northeast,Post-COVID,429.47,65818.88888888889
2023,apr,Energy,277.641,Northeast,Post-COVID,405.18,69343.33333333333
2024,apr,Energy,280.986,Northeast,Post-COVID,410.06,71988.88888888889
2025,apr,Energy,280.382,Northeast,Post-COVID,409.18,75084.4050740352
2015,apr,Shelter,322.783,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,apr,Shelter,331.18,Northeast,Pre-COVID,1503.97,52797.77777777778
2017,apr,Shelter,339.91,Northeast,Pre-COVID,1543.61,53960.0
2018,apr,Shelter,348.276,Northeast,Pre-COVID,1581.6,55435.555555555555
2019,apr,Shelter,357.567,Northeast,Pre-COVID,1623.8,
2020,apr,Shelter,365.383,Northeast,Post-COVID,1659.29,60284.444444444445
2021,apr,Shelter,370.994,Northeast,Post-COVID,1684.77,62467.77777777778
2022,apr,Shelter,382.64,Northeast,Post-COVID,1737.66,65818.88888888889
2023,apr,Shelter,406.734,Northeast,Post-COVID,1847.07,69343.33333333333
2024,apr,Shelter,430.231,Northeast,Post-COVID,1953.78,71988.88888888889
2025,apr,Shelter,452.83,Northeast,Post-COVID,2056.41,75084.4050740352
2015,apr,Medical Care,468.386,Northeast,Pre-COVID,412.67,51403.333333333336
2016,apr,Medical Care,482.472,Northeast,Pre-COVID,425.08,52797.77777777778
2017,apr,Medical Care,491.537,Northeast,Pre-COVID,433.06,53960.0
2018,apr,Medical Care,504.859,Northeast,Pre-COVID,444.8,55435.555555555555
2019,apr,Medical Care,519.076,Northeast,Pre-COVID,457.33,
2020,apr,Medical Care,549.33,Northeast,Post-COVID,483.98,60284.444444444445
2021,apr,Medical Care,550.365,Northeast,Post-COVID,484.89,62467.77777777778
2022,apr,Medical Care,568.472,Northeast,Post-COVID,500.85,65818.88888888889
2023,apr,Medical Care,560.352,Northeast,Post-COVID,493.69,69343.33333333333
2024,apr,Medical Care,572.201,Northeast,Post-COVID,504.13,71988.88888888889
2025,apr,Medical Care,584.462,Northeast,Post-COVID,514.93,75084.4050740352
2015,may,Food at Home,248.838,Northeast,Pre-COVID,342.08,51403.333333333336
2016,may,Food at Home,245.302,Northeast,Pre-COVID,337.22,52797.77777777778
2017,may,Food at Home,246.032,Northeast,Pre-COVID,338.23,53960.0
2018,may,Food at Home,248.22,Northeast,Pre-COVID,341.23,55435.555555555555
2019,may,Food at Home,250.646,Northeast,Pre-COVID,344.57,
2020,may,Food at Home,264.135,Northeast,Post-COVID,363.11,60284.444444444445
2021,may,Food at Home,263.165,Northeast,Post-COVID,361.78,62467.77777777778
2022,may,Food at Home,290.648,Northeast,Post-COVID,399.56,65818.88888888889
2023,may,Food at Home,305.619,Northeast,Post-COVID,420.14,69343.33333333333
2024,may,Food at Home,307.711,Northeast,Post-COVID,423.02,71988.88888888889
2025,may,Food at Home,313.569,Northeast,Post-COVID,431.07,75084.4050740352
2015,may,Food Away From Home,258.477,Northeast,Pre-COVID,266.83,51403.333333333336
2016,may,Food Away From Home,265.316,Northeast,Pre-COVID,273.89,52797.77777777778
2017,may,Food Away From Home,271.597,Northeast,Pre-COVID,280.38,53960.0
2018,may,Food Away From Home,280.017,Northeast,Pre-COVID,289.07,55435.555555555555
2019,may,Food Away From Home,286.691,Northeast,Pre-COVID,295.96,
2020,may,Food Away From Home,298.07,Northeast,Post-COVID,307.71,60284.444444444445
2021,may,Food Away From Home,308.774,Northeast,Post-COVID,318.76,62467.77777777778
2022,may,Food Away From Home,328.173,Northeast,Post-COVID,338.78,65818.88888888889
2023,may,Food Away From Home,354.585,Northeast,Post-COVID,366.05,69343.33333333333
2024,may,Food Away From Home,371.911,Northeast,Post-COVID,383.93,71988.88888888889
2025,may,Food Away From Home,385.637,Northeast,Post-COVID,398.1,75084.4050740352
2015,may,Energy,206.175,Northeast,Pre-COVID,292.92,51403.333333333336
2016,may,Energy,186.534,Northeast,Pre-COVID,265.01,52797.77777777778
2017,may,Energy,200.152,Northeast,Pre-COVID,284.36,53960.0
2018,may,Energy,224.829,Northeast,Pre-COVID,319.42,55435.555555555555
2019,may,Energy,219.921,Northeast,Pre-COVID,312.45,
2020,may,Energy,183.663,Northeast,Post-COVID,260.93,60284.444444444445
2021,may,Energy,225.404,Northeast,Post-COVID,320.24,62467.77777777778
2022,may,Energy,316.107,Northeast,Post-COVID,449.1,65818.88888888889
2023,may,Energy,272.659,Northeast,Post-COVID,387.37,69343.33333333333
2024,may,Energy,282.049,Northeast,Post-COVID,400.71,71988.88888888889
2025,may,Energy,280.463,Northeast,Post-COVID,398.46,75084.4050740352
2015,may,Shelter,323.612,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,may,Shelter,332.503,Northeast,Pre-COVID,1506.11,52797.77777777778
2017,may,Shelter,340.473,Northeast,Pre-COVID,1542.21,53960.0
2018,may,Shelter,349.926,Northeast,Pre-COVID,1585.03,55435.555555555555
2019,may,Shelter,358.234,Northeast,Pre-COVID,1622.66,
2020,may,Shelter,365.728,Northeast,Post-COVID,1656.6,60284.444444444445
2021,may,Shelter,372.283,Northeast,Post-COVID,1686.29,62467.77777777778
2022,may,Shelter,384.343,Northeast,Post-COVID,1740.92,65818.88888888889
2023,may,Shelter,408.046,Northeast,Post-COVID,1848.29,69343.33333333333
2024,may,Shelter,433.995,Northeast,Post-COVID,1965.82,71988.88888888889
2025,may,Shelter,454.31,Northeast,Post-COVID,2057.84,75084.4050740352
2015,may,Medical Care,469.261,Northeast,Pre-COVID,412.67,51403.333333333336
2016,may,Medical Care,484.072,Northeast,Pre-COVID,425.69,52797.77777777778
2017,may,Medical Care,491.976,Northeast,Pre-COVID,432.64,53960.0
2018,may,Medical Care,504.921,Northeast,Pre-COVID,444.03,55435.555555555555
2019,may,Medical Care,521.223,Northeast,Pre-COVID,458.36,
2020,may,Medical Care,548.862,Northeast,Post-COVID,482.67,60284.444444444445
2021,may,Medical Care,550.36,Northeast,Post-COVID,483.98,62467.77777777778
2022,may,Medical Care,568.877,Northeast,Post-COVID,500.27,65818.88888888889
2023,may,Medical Care,560.953,Northeast,Post-COVID,493.3,69343.33333333333
2024,may,Medical Care,578.443,Northeast,Post-COVID,508.68,71988.88888888889
2025,may,Medical Care,583.519,Northeast,Post-COVID,513.14,75084.4050740352
2015,jun,Food at Home,249.264,Northeast,Pre-COVID,342.08,51403.333333333336
2016,jun,Food at Home,244.57,Northeast,Pre-COVID,335.64,52797.77777777778
2017,jun,Food at Home,245.729,Northeast,Pre-COVID,337.23,53960.0
2018,jun,Food at Home,248.297,Northeast,Pre-COVID,340.76,55435.555555555555
2019,jun,Food at Home,251.013,Northeast,Pre-COVID,344.48,
2020,jun,Food at Home,263.522,Northeast,Post-COVID,361.65,60284.444444444445
2021,jun,Food at Home,264.804,Northeast,Post-COVID,363.41,62467.77777777778
2022,jun,Food at Home,291.665,Northeast,Post-COVID,400.27,65818.88888888889
2023,jun,Food at Home,305.456,Northeast,Post-COVID,419.2,69343.33333333333
2024,jun,Food at Home,307.891,Northeast,Post-COVID,422.54,71988.88888888889
2025,jun,Food at Home,313.831,Northeast,Post-COVID,430.69,75084.4050740352
2015,jun,Food Away From Home,259.212,Northeast,Pre-COVID,266.83,51403.333333333336
2016,jun,Food Away From Home,266.064,Northeast,Pre-COVID,273.89,52797.77777777778
2017,jun,Food Away From Home,272.129,Northeast,Pre-COVID,280.13,53960.0
2018,jun,Food Away From Home,280.296,Northeast,Pre-COVID,288.54,55435.555555555555
2019,jun,Food Away From Home,288.223,Northeast,Pre-COVID,296.7,
2020,jun,Food Away From Home,299.261,Northeast,Post-COVID,308.06,60284.444444444445
2021,jun,Food Away From Home,309.388,Northeast,Post-COVID,318.48,62467.77777777778
2022,jun,Food Away From Home,331.418,Northeast,Post-COVID,341.16,65818.88888888889
2023,jun,Food Away From Home,356.6,Northeast,Post-COVID,367.08,69343.33333333333
2024,jun,Food Away From Home,373.582,Northeast,Post-COVID,384.57,71988.88888888889
2025,jun,Food Away From Home,386.542,Northeast,Post-COVID,397.91,75084.4050740352
2015,jun,Energy,211.16,Northeast,Pre-COVID,292.92,51403.333333333336
2016,jun,Energy,190.756,Northeast,Pre-COVID,264.61,52797.77777777778
2017,jun,Energy,198.853,Northeast,Pre-COVID,275.84,53960.0
2018,jun,Energy,224.93,Northeast,Pre-COVID,312.02,55435.555555555555
2019,jun,Energy,216.394,Northeast,Pre-COVID,300.18,
2020,jun,Energy,190.948,Northeast,Post-COVID,264.88,60284.444444444445
2021,jun,Energy,231.222,Northeast,Post-COVID,320.75,62467.77777777778
2022,jun,Energy,333.517,Northeast,Post-COVID,462.65,65818.88888888889
2023,jun,Energy,276.781,Northeast,Post-COVID,383.94,69343.33333333333
2024,jun,Energy,282.219,Northeast,Post-COVID,391.49,71988.88888888889
2025,jun,Energy,288.994,Northeast,Post-COVID,400.89,75084.4050740352
2015,jun,Shelter,324.5,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,jun,Shelter,333.809,Northeast,Pre-COVID,1507.88,52797.77777777778
2017,jun,Shelter,340.804,Northeast,Pre-COVID,1539.48,53960.0
2018,jun,Shelter,350.467,Northeast,Pre-COVID,1583.13,55435.555555555555
2019,jun,Shelter,359.255,Northeast,Pre-COVID,1622.83,
2020,jun,Shelter,367.321,Northeast,Post-COVID,1659.26,60284.444444444445
2021,jun,Shelter,375.342,Northeast,Post-COVID,1695.5,62467.77777777778
2022,jun,Shelter,385.575,Northeast,Post-COVID,1741.72,65818.88888888889
2023,jun,Shelter,410.022,Northeast,Post-COVID,1852.15,69343.33333333333
2024,jun,Shelter,436.491,Northeast,Post-COVID,1971.72,71988.88888888889
2025,jun,Shelter,455.626,Northeast,Post-COVID,2058.16,75084.4050740352
2015,jun,Medical Care,467.204,Northeast,Pre-COVID,412.67,51403.333333333336
2016,jun,Medical Care,484.979,Northeast,Pre-COVID,428.37,52797.77777777778
2017,jun,Medical Care,493.415,Northeast,Pre-COVID,435.82,53960.0
2018,jun,Medical Care,504.804,Northeast,Pre-COVID,445.88,55435.555555555555
2019,jun,Medical Care,522.8,Northeast,Pre-COVID,461.77,
2020,jun,Medical Care,552.744,Northeast,Post-COVID,488.22,60284.444444444445
2021,jun,Medical Care,546.769,Northeast,Post-COVID,482.94,62467.77777777778
2022,jun,Medical Care,573.145,Northeast,Post-COVID,506.24,65818.88888888889
2023,jun,Medical Care,558.956,Northeast,Post-COVID,493.71,69343.33333333333
2024,jun,Medical Care,578.651,Northeast,Post-COVID,511.1,71988.88888888889
2025,jun,Medical Care,585.244,Northeast,Post-COVID,516.93,75084.4050740352
2015,jul,Food at Home,248.52,Northeast,Pre-COVID,342.08,51403.333333333336
2016,jul,Food at Home,244.816,Northeast,Pre-COVID,336.98,52797.77777777778
2017,jul,Food at Home,246.937,Northeast,Pre-COVID,339.9,53960.0
2018,jul,Food at Home,249.803,Northeast,Pre-COVID,343.85,55435.555555555555
2019,jul,Food at Home,250.175,Northeast,Pre-COVID,344.36,
2020,jul,Food at Home,261.877,Northeast,Post-COVID,360.47,60284.444444444445
2021,jul,Food at Home,265.218,Northeast,Post-COVID,365.07,62467.77777777778
2022,jul,Food at Home,296.137,Northeast,Post-COVID,407.63,65818.88888888889
2023,jul,Food at Home,306.205,Northeast,Post-COVID,421.49,69343.33333333333
2024,jul,Food at Home,309.0,Northeast,Post-COVID,425.33,71988.88888888889
2025,jul,Food at Home,315.021,Northeast,Post-COVID,433.62,75084.4050740352
2015,jul,Food Away From Home,260.058,Northeast,Pre-COVID,266.83,51403.333333333336
2016,jul,Food Away From Home,266.926,Northeast,Pre-COVID,273.88,52797.77777777778
2017,jul,Food Away From Home,272.847,Northeast,Pre-COVID,279.96,53960.0
2018,jul,Food Away From Home,280.675,Northeast,Pre-COVID,287.99,55435.555555555555
2019,jul,Food Away From Home,288.751,Northeast,Pre-COVID,296.27,
2020,jul,Food Away From Home,299.243,Northeast,Post-COVID,307.04,60284.444444444445
2021,jul,Food Away From Home,311.464,Northeast,Post-COVID,319.58,62467.77777777778
2022,jul,Food Away From Home,334.425,Northeast,Post-COVID,343.14,65818.88888888889
2023,jul,Food Away From Home,357.255,Northeast,Post-COVID,366.56,69343.33333333333
2024,jul,Food Away From Home,373.682,Northeast,Post-COVID,383.42,71988.88888888889
2025,jul,Food Away From Home,388.3,Northeast,Post-COVID,398.42,75084.4050740352
2015,jul,Energy,206.809,Northeast,Pre-COVID,292.92,51403.333333333336
2016,jul,Energy,187.052,Northeast,Pre-COVID,264.93,52797.77777777778
2017,jul,Energy,196.72,Northeast,Pre-COVID,278.63,53960.0
2018,jul,Energy,223.343,Northeast,Pre-COVID,316.33,55435.555555555555
2019,jul,Energy,215.57,Northeast,Pre-COVID,305.33,
2020,jul,Energy,192.472,Northeast,Post-COVID,272.61,60284.444444444445
2021,jul,Energy,232.729,Northeast,Post-COVID,329.63,62467.77777777778
2022,jul,Energy,318.237,Northeast,Post-COVID,450.74,65818.88888888889
2023,jul,Energy,275.009,Northeast,Post-COVID,389.51,69343.33333333333
2024,jul,Energy,285.253,Northeast,Post-COVID,404.02,71988.88888888889
2025,jul,Energy,288.292,Northeast,Post-COVID,408.33,75084.4050740352
2015,jul,Shelter,326.169,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,jul,Shelter,335.313,Northeast,Pre-COVID,1506.93,52797.77777777778
2017,jul,Shelter,341.308,Northeast,Pre-COVID,1533.87,53960.0
2018,jul,Shelter,351.001,Northeast,Pre-COVID,1577.43,55435.555555555555
2019,jul,Shelter,359.887,Northeast,Pre-COVID,1617.37,
2020,jul,Shelter,367.962,Northeast,Post-COVID,1653.65,60284.444444444445
2021,jul,Shelter,376.327,Northeast,Post-COVID,1691.25,62467.77777777778
2022,jul,Shelter,386.621,Northeast,Post-COVID,1737.51,65818.88888888889
2023,jul,Shelter,411.594,Northeast,Post-COVID,1849.74,69343.33333333333
2024,jul,Shelter,437.068,Northeast,Post-COVID,1964.22,71988.88888888889
2025,jul,Shelter,456.9,Northeast,Post-COVID,2053.35,75084.4050740352
2015,jul,Medical Care,467.511,Northeast,Pre-COVID,412.67,51403.333333333336
2016,jul,Medical Care,486.995,Northeast,Pre-COVID,429.86,52797.77777777778
2017,jul,Medical Care,494.618,Northeast,Pre-COVID,436.59,53960.0
2018,jul,Medical Care,504.541,Northeast,Pre-COVID,445.35,55435.555555555555
2019,jul,Medical Care,526.016,Northeast,Pre-COVID,464.31,
2020,jul,Medical Care,554.273,Northeast,Post-COVID,489.25,60284.444444444445
2021,jul,Medical Care,548.685,Northeast,Post-COVID,484.32,62467.77777777778
2022,jul,Medical Care,576.156,Northeast,Post-COVID,508.57,65818.88888888889
2023,jul,Medical Care,559.936,Northeast,Post-COVID,494.25,69343.33333333333
2024,jul,Medical Care,572.336,Northeast,Post-COVID,505.19,71988.88888888889
2025,jul,Medical Care,583.846,Northeast,Post-COVID,515.35,75084.4050740352
2015,aug,Food at Home,249.021,Northeast,Pre-COVID,342.08,51403.333333333336
2016,aug,Food at Home,244.587,Northeast,Pre-COVID,335.99,52797.77777777778
2017,aug,Food at Home,246.165,Northeast,Pre-COVID,338.16,53960.0
2018,aug,Food at Home,250.062,Northeast,Pre-COVID,343.51,55435.555555555555
2019,aug,Food at Home,250.784,Northeast,Pre-COVID,344.51,
2020,aug,Food at Home,260.775,Northeast,Post-COVID,358.23,60284.444444444445
2021,aug,Food at Home,266.563,Northeast,Post-COVID,366.18,62467.77777777778
2022,aug,Food at Home,298.62,Northeast,Post-COVID,410.22,65818.88888888889
2023,aug,Food at Home,305.792,Northeast,Post-COVID,420.07,69343.33333333333
2024,aug,Food at Home,308.935,Northeast,Post-COVID,424.39,71988.88888888889
2025,aug,Food at Home,316.957,Northeast,Post-COVID,435.41,75084.4050740352
2015,aug,Food Away From Home,259.933,Northeast,Pre-COVID,266.83,51403.333333333336
2016,aug,Food Away From Home,267.145,Northeast,Pre-COVID,274.24,52797.77777777778
2017,aug,Food Away From Home,273.329,Northeast,Pre-COVID,280.58,53960.0
2018,aug,Food Away From Home,281.392,Northeast,Pre-COVID,288.86,55435.555555555555
2019,aug,Food Away From Home,289.738,Northeast,Pre-COVID,297.43,
2020,aug,Food Away From Home,299.666,Northeast,Post-COVID,307.62,60284.444444444445
2021,aug,Food Away From Home,313.536,Northeast,Post-COVID,321.86,62467.77777777778
2022,aug,Food Away From Home,335.92,Northeast,Post-COVID,344.84,65818.88888888889
2023,aug,Food Away From Home,359.368,Northeast,Post-COVID,368.91,69343.33333333333
2024,aug,Food Away From Home,374.39,Northeast,Post-COVID,384.33,71988.88888888889
2025,aug,Food Away From Home,388.838,Northeast,Post-COVID,399.16,75084.4050740352
2015,aug,Energy,198.583,Northeast,Pre-COVID,292.92,51403.333333333336
2016,aug,Energy,182.872,Northeast,Pre-COVID,269.74,52797.77777777778
2017,aug,Energy,198.899,Northeast,Pre-COVID,293.38,53960.0
2018,aug,Energy,222.382,Northeast,Pre-COVID,328.02,55435.555555555555
2019,aug,Energy,211.696,Northeast,Pre-COVID,312.26,
2020,aug,Energy,190.904,Northeast,Post-COVID,281.59,60284.444444444445
2021,aug,Energy,235.385,Northeast,Post-COVID,347.2,62467.77777777778
2022,aug,Energy,308.83,Northeast,Post-COVID,455.53,65818.88888888889
2023,aug,Energy,283.238,Northeast,Post-COVID,417.79,69343.33333333333
2024,aug,Energy,279.467,Northeast,Post-COVID,412.22,71988.88888888889
2025,aug,Energy,286.402,Northeast,Post-COVID,422.45,75084.4050740352
2015,aug,Shelter,326.509,Northeast,Pre-COVID,1465.83,51403.333333333336
2016,aug,Shelter,336.263,Northeast,Pre-COVID,1509.62,52797.77777777778
2017,aug,Shelter,343.129,Northeast,Pre-COVID,1540.45,53960.0
2018,aug,Shelter,353.18,Northeast,Pre-COVID,1585.57,55435.555555555555
2019,aug,Shelter,360.222,Northeast,Pre-COVID,1617.18,
2020,aug,Shelter,367.753,Northeast,Post-COVID,1650.99,60284.444444444445
2021,aug,Shelter,375.128,Northeast,Post-COVID,1684.1,62467.77777777778
2022,aug,Shelter,388.91,Northeast,Post-COVID,1745.98,65818.88888888889
2023,aug,Shelter,413.698,Northeast,Post-COVID,1857.26,69343.33333333333
2024,aug,Shelter,439.75,Northeast,Post-COVID,1974.22,71988.88888888889
2025,aug,Shelter,459.071,Northeast,Post-COVID,2060.96,75084.4050740352
2015,aug,Medical Care,468.451,Northeast,Pre-COVID,412.67,51403.333333333336
2016,aug,Medical Care,488.309,Northeast,Pre-COVID,430.16,52797.77777777778
2017,aug,Medical Care,495.072,Northeast,Pre-COVID,436.12,53960.0
2018,aug,Medical Care,505.303,Northeast,Pre-COVID,445.13,55435.555555555555
2019,aug,Medical Care,528.447,Northeast,Pre-COVID,465.52,
2020,aug,Medical Care,551.685,Northeast,Post-COVID,485.99,60284.444444444445
2021,aug,Medical Care,549.119,Northeast,Post-COVID,483.73,62467.77777777778
2022,aug,Medical Care,580.669,Northeast,Post-COVID,511.52,65818.88888888889
2023,aug,Medical Care,558.709,Northeast,Post-COVID,492.18,69343.33333333333
2024,aug,Medical Care,573.346,Northeast,Post-COVID,505.07,71988.88888888889
2025,aug,Medical Care,586.758,Northeast,Post-COVID,516.89,75084.4050740352
2015,sep,Food at Home,249.251,Northeast,Pre-COVID,342.08,51403.333333333336
2016,sep,Food at Home,244.649,Northeast,Pre-COVID,335.77,52797.77777777778
2017,sep,Food at Home,245.539,Northeast,Pre-COVID,336.99,53960.0
2018,sep,Food at Home,250.733,Northeast,Pre-COVID,344.12,55435.555555555555
2019,sep,Food at Home,250.048,Northeast,Pre-COVID,343.18,
2020,sep,Food at Home,260.903,Northeast,Post-COVID,358.08,60284.444444444445
2021,sep,Food at Home,268.88,Northeast,Post-COVID,369.02,62467.77777777778
2022,sep,Food at Home,299.757,Northeast,Post-COVID,411.4,65818.88888888889
2023,sep,Food at Home,306.771,Northeast,Post-COVID,421.03,69343.33333333333
2024,sep,Food at Home,311.03,Northeast,Post-COVID,426.87,71988.88888888889
2025,sep,Food at Home,,Northeast,Post-COVID,,75084.4050740352
2015,sep,Food Away From Home,260.986,Northeast,Pre-COVID,266.83,51403.333333333336
2016,sep,Food Away From Home,267.88,Northeast,Pre-COVID,273.88,52797.77777777778
2017,sep,Food Away From Home,273.88,Northeast,Pre-COVID,280.02,53960.0
2018,sep,Food Away From Home,281.681,Northeast,Pre-COVID,287.99,55435.555555555555
2019,sep,Food Away From Home,290.422,Northeast,Pre-COVID,296.93,
2020,sep,Food Away From Home,300.242,Northeast,Post-COVID,306.97,60284.444444444445
