year,month,city,region,category,cpi
1921,Apr,San Francisco,West,All Items,
1921,May,San Francisco,West,All Items,15.2
1921,Jun,San Francisco,West,All Items,
1921,Jul,San Francisco,West,All Items,
1921,Aug,San Francisco,West,All Items,
1921,Sep,San Francisco,West,All Items,15.0
1921,Oct,San Francisco,West,All Items,
1921,Nov,San Francisco,West,All Items,
1921,Dec,San Francisco,West,All Items,15.0
1922,Jan,San Francisco,West,All Items,
1922,Feb,San Francisco,West,All Items,
1922,Mar,San Francisco,West,All Items,14.7
1922,Apr,San Francisco,West,All Items,
1922,May,San Francisco,West,All Items,
1922,Jun,San Francisco,West,All Items,14.6
1922,Jul,San Francisco,West,All Items,
1922,Aug,San Francisco,West,All Items,
1922,Sep,San Francisco,West,All Items,14.5
1922,Oct,San Francisco,West,All Items,
1922,Nov,San Francisco,West,All Items,
1922,Dec,San Francisco,West,All Items,14.6
1923,Jan,San Francisco,West,All Items,
1923,Feb,San Francisco,West,All Items,
1923,Mar,San Francisco,West,All Items,14.4
1923,Apr,San Francisco,West,All Items,
1923,May,San Francisco,West,All Items,
1923,Jun,San Francisco,West,All Items,14.6
1923,Jul,San Francisco,West,All Items,
1923,Aug,San Francisco,West,All Items,
1923,Sep,San Francisco,West,All Items,14.8
1923,Oct,San Francisco,West,All Items,
1923,Nov,San Francisco,West,All Items,
1923,Dec,San Francisco,West,All Items,15.0
1924,Jan,San Francisco,West,All Items,
1924,Feb,San Francisco,West,All Items,
1924,Mar,San Francisco,West,All Items,14.6
1924,Apr,San Francisco,West,All Items,
1924,May,San Francisco,West,All Items,
1924,Jun,San Francisco,West,All Items,14.6
1924,Jul,San Francisco,West,All Items,
1924,Aug,San Francisco,West,All Items,
1924,Sep,San Francisco,West,All Items,14.7
1924,Oct,San Francisco,West,All Items,
1924,Nov,San Francisco,West,All Items,
1924,Dec,San Francisco,West,All Items,14.8
1925,Jan,San Francisco,West,All Items,
1925,Feb,San Francisco,West,All Items,
1925,Mar,San Francisco,West,All Items,
1925,Apr,San Francisco,West,All Items,
1925,May,San Francisco,West,All Items,
1925,Jun,San Francisco,West,All Items,15.1
1925,Jul,San Francisco,West,All Items,
1925,Aug,San Francisco,West,All Items,
1925,Sep,San Francisco,West,All Items,
1925,Oct,San Francisco,West,All Items,
1925,Nov,San Francisco,West,All Items,
1925,Dec,San Francisco,West,All Items,15.3
1926,Jan,San Francisco,West,All Items,
1926,Feb,San Francisco,West,All Items,
1926,Mar,San Francisco,West,All Items,
1926,Apr,San Francisco,West,All Items,
1926,May,San Francisco,West,All Items,
1926,Jun,San Francisco,West,All Items,15.0
1926,Jul,San Francisco,West,All Items,
1926,Aug,San Francisco,West,All Items,
1926,Sep,San Francisco,West,All Items,
1926,Oct,San Francisco,West,All Items,
1926,Nov,San Francisco,West,All Items,
1926,Dec,San Francisco,West,All Items,15.0
1927,Jan,San Francisco,West,All Items,
1927,Feb,San Francisco,West,All Items,
1927,Mar,San Francisco,West,All Items,
1927,Apr,San Francisco,West,All Items,
1927,May,San Francisco,West,All Items,
1927,Jun,San Francisco,West,All Items,15.0
1927,Jul,San Francisco,West,All Items,
1927,Aug,San Francisco,West,All Items,
1927,Sep,San Francisco,West,All Items,
1927,Oct,San Francisco,West,All Items,
1927,Nov,San Francisco,West,All Items,
1927,Dec,San Francisco,West,All Items,14.9
1928,Jan,San Francisco,West,All Items,
1928,Feb,San Francisco,West,All Items,
1928,Mar,San Francisco,West,All Items,
1928,Apr,San Francisco,West,All Items,
1928,May,San Francisco,West,All Items,
1928,Jun,San Francisco,West,All Items,14.8
1928,Jul,San Francisco,West,All Items,
1928,Aug,San Francisco,West,All Items,
1928,Sep,San Francisco,West,All Items,
1928,Oct,San Francisco,West,All Items,
1928,Nov,San Francisco,West,All Items,
1928,Dec,San Francisco,West,All Items,15.0
1929,Jan,San Francisco,West,All Items,
